Manufacturer,Model,Capacity,Carrier,Like New Price,Good Price,Fair Price,Minor Damage Price,Damaged Price,Like New Deeplink,Good Deeplink,Fair Deeplink,Minor Damage Deeplink,Damaged Deeplink
Apple,iPhone 12 Mini,64GB,Unlocked,100.0,80.0,50.0,25.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/64gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/64gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/64gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/64gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/64gb/damaged
Apple,iPhone 12 Mini,128GB,AT&T,100.0,80.0,50.0,10.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/128gb/damaged
Apple,iPhone 12 Mini,128GB,T-Mobile,65.0,45.0,15.0,10.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/128gb/damaged
Apple,iPhone 12 Mini,128GB,Verizon,120.0,100.0,70.0,35.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/128gb/damaged
Apple,iPhone 12 Mini,128GB,Unlocked,120.0,100.0,70.0,35.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/128gb/damaged
Apple,iPhone 12 Mini,256GB,AT&T,115.0,95.0,65.0,15.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/at-t/256gb/damaged
Apple,iPhone 12 Mini,256GB,T-Mobile,80.0,60.0,30.0,10.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/t-mobile/256gb/damaged
Apple,iPhone 12 Mini,256GB,Verizon,135.0,115.0,85.0,35.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/verizon/256gb/damaged
Apple,iPhone 12 Mini,256GB,Unlocked,135.0,115.0,85.0,35.0,5.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-mini/unlocked/256gb/damaged
Apple,iPhone 12 Pro,128GB,AT&T,130.0,110.0,60.0,20.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/128gb/damaged
Apple,iPhone 12 Pro,128GB,T-Mobile,100.0,80.0,30.0,20.0,10.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/t-mobile/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/t-mobile/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/t-mobile/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/t-mobile/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/t-mobile/128gb/damaged
Apple,iPhone 12 Pro,128GB,Verizon,170.0,150.0,100.0,50.0,20.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/verizon/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/verizon/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/verizon/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/verizon/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/verizon/128gb/damaged
Apple,iPhone 12 Pro,128GB,Unlocked,170.0,150.0,100.0,50.0,20.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/unlocked/128gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/unlocked/128gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/unlocked/128gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/unlocked/128gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/unlocked/128gb/damaged
Apple,iPhone 12 Pro,256GB,AT&T,170.0,150.0,100.0,30.0,20.0,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/256gb/like-new,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/256gb/good-condition,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/256gb/fair,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/256gb/minor-damage,https://www.ocbuyback.com/sell/cell-phone/apple/iphone-12-pro/at-t/256gb/damaged
