partner_ref,product,carrier,memory,storage,processor,price_new,price_mint,price_good,price_fair,price_broken,url
,apple-ipad-pro-129-4th-gen-2020,cellular,,256gb,,,330.0,280.0,230.0,66.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
,apple-ipad-pro-129-4th-gen-2020,wi-fi,,512gb,,,295.0,245.0,195.0,65.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
,apple-ipad-pro-129-4th-gen-2020,cellular,,512gb,,,335.0,285.0,235.0,68.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
,apple-ipad-pro-129-4th-gen-2020,wi-fi,,1tb,,,310.0,260.0,210.0,67.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
,apple-ipad-pro-129-4th-gen-2020,cellular,,1tb,,,350.0,300.0,250.0,70.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
,apple-ipad-pro-129-5th-gen-2021,wi-fi,,128gb,,,330.0,295.0,215.0,75.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,cellular,,128gb,,,345.0,310.0,230.0,100.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,wi-fi,,256gb,,,350.0,315.0,235.0,100.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,cellular,,256gb,,,365.0,330.0,250.0,125.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,wi-fi,,512gb,,,380.0,345.0,265.0,110.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,cellular,,512gb,,,395.0,360.0,280.0,135.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,wi-fi,,1tb,,,430.0,395.0,315.0,125.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,cellular,,1tb,,,445.0,410.0,330.0,150.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,wi-fi,,2tb,,,480.0,445.0,365.0,150.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-5th-gen-2021,cellular,,2tb,,,495.0,460.0,380.0,175.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
,apple-ipad-pro-129-6th-gen-2022,wi-fi,,128gb,,,390.0,300.0,245.0,125.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,cellular,,128gb,,,405.0,315.0,260.0,150.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,wi-fi,,256gb,,,430.0,340.0,285.0,135.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,cellular,,256gb,,,445.0,355.0,300.0,160.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,wi-fi,,512gb,,,450.0,360.0,305.0,140.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,cellular,,512gb,,,465.0,375.0,320.0,165.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,wi-fi,,1tb,,,505.0,415.0,360.0,160.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,cellular,,1tb,,,520.0,430.0,375.0,185.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,wi-fi,,2tb,,,550.0,460.0,405.0,175.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-pro-129-6th-gen-2022,cellular,,2tb,,,565.0,475.0,420.0,200.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
,apple-ipad-8th-gen,wi-fi,,32gb,,,50.0,40.0,25.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-8th-gen-2020
,apple-ipad-8th-gen,cellular,,32gb,,,60.0,50.0,35.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-8th-gen-2020
,apple-ipad-8th-gen,wi-fi,,128gb,,,60.0,50.0,45.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-8th-gen-2020
